x y U
2.3143 4.1143 16.6216
2.5714 4.1143 16.3770
2.8286 4.1143 26.6398
3.0857 4.1143 40.0000
3.3429 4.1143 40.0000
3.6000 4.1143 40.0000
3.8571 4.1143 40.0000
4.1143 4.1143 40.0000
4.3714 4.1143 40.0000
4.6286 4.1143 40.0000
4.8857 4.1143 40.0000
5.1429 4.1143 23.5034
5.4000 4.1143 5.3294
5.6571 4.1143 3.2638
5.9143 4.1143 2.3555
6.1714 4.1143 1.7401
6.4286 4.1143 1.2610
6.6857 4.1143 0.8745
6.9429 4.1143 0.5654
7.2000 4.1143 0.3265
7.4571 4.1143 0.1539
7.7143 4.1143 0.0473
7.9714 4.1143 0.0069
8.2286 4.1143 0.0327
8.4857 4.1143 0.1245
8.7429 4.1143 0.2824
9.0000 4.1143 0.5065

0.0000 4.3429 32.0588
0.2571 4.3429 30.0347
0.5143 4.3429 28.0767
0.7714 4.3429 26.1849
1.0286 4.3429 24.3592
1.2857 4.3429 22.6025
1.5429 4.3429 20.9215
1.8000 4.3429 19.3285
2.0571 4.3429 17.8569
2.3143 4.3429 16.6171
2.5714 4.3429 16.1245
2.8286 4.3429 21.5659
3.0857 4.3429 40.0000
3.3429 4.3429 40.0000
3.6000 4.3429 40.0000
3.8571 4.3429 40.0000
4.1143 4.3429 40.0000
4.3714 4.3429 40.0000
4.6286 4.3429 40.0000
4.8857 4.3429 40.0000
5.1429 4.3429 15.0756
5.4000 4.3429 4.9976
5.6571 4.3429 3.2494
5.9143 4.3429 2.3898
6.1714 4.3429 1.7866
6.4286 4.3429 1.3112
6.6857 4.3429 0.9261
6.9429 4.3429 0.6176
7.2000 4.3429 0.3788
7.4571 4.3429 0.2061
7.7143 4.3429 0.0996
7.9714 4.3429 0.0592
8.2286 4.3429 0.0849
8.4857 4.3429 0.1767
8.7429 4.3429 0.3347
9.0000 4.3429 0.5588

0.0000 4.5714 32.1633
0.2571 4.5714 30.1392
0.5143 4.5714 28.1812
0.7714 4.5714 26.2894
1.0286 4.5714 24.4637
1.2857 4.5714 22.7061
1.5429 4.5714 21.0229
1.8000 4.5714 19.4240
2.0571 4.5714 17.9351
2.3143 4.5714 16.6328
2.5714 4.5714 15.8181
2.8286 4.5714 17.4447
3.0857 4.5714 40.0000
3.3429 4.5714 40.0000
3.6000 4.5714 40.0000
3.8571 4.5714 40.0000
4.1143 4.5714 40.0000
4.3714 4.5714 40.0000
4.6286 4.5714 40.0000
4.8857 4.5714 40.0000
5.1429 4.5714 9.0509
5.4000 4.5714 4.5983
5.6571 4.5714 3.2507
5.9143 4.5714 2.4645
6.1714 4.5714 1.8810
6.4286 4.5714 1.4122
6.6857 4.5714 1.0296
6.9429 4.5714 0.7220
7.2000 4.5714 0.4833
7.4571 4.5714 0.3106
7.7143 4.5714 0.2041
7.9714 4.5714 0.1637
8.2286 4.5714 0.1894
8.4857 4.5714 0.2812
8.7429 4.5714 0.4392
9.0000 4.5714 0.6633

0.0000 4.8000 32.3200
0.2571 4.8000 30.2959
0.5143 4.8000 28.3380
0.7714 4.8000 26.4461
1.0286 4.8000 24.6204
1.2857 4.8000 22.8619
1.5429 4.8000 21.1760
1.8000 4.8000 19.5702
2.0571 4.8000 18.0621
2.3143 4.8000 16.6981
2.5714 4.8000 15.6262
2.8286 4.8000 15.4765
3.0857 4.8000 21.0225
3.3429 4.8000 40.0000
3.6000 4.8000 40.0000
3.8571 4.8000 40.0000
4.1143 4.8000 40.0000
4.3714 4.8000 40.0000
4.6286 4.8000 40.0000
4.8857 4.8000 16.0618
5.1429 4.8000 6.4650
5.4000 4.8000 4.3416
5.6571 4.8000 3.3027
5.9143 4.8000 2.5878
6.1714 4.8000 2.0259
6.4286 4.8000 1.5648
6.6857 4.8000 1.1852
6.9429 4.8000 0.8788
7.2000 4.8000 0.6400
7.4571 4.8000 0.4673
7.7143 4.8000 0.3608
7.9714 4.8000 0.3204
8.2286 4.8000 0.3461
8.4857 4.8000 0.4380
8.7429 4.8000 0.5959
9.0000 4.8000 0.8200

0.0000 5.0286 32.5290
0.2571 5.0286 30.5049
0.5143 5.0286 28.5469
0.7714 5.0286 26.6551
1.0286 5.0286 24.8294
1.2857 5.0286 23.0701
1.5429 5.0286 21.3814
1.8000 5.0286 19.7690
2.0571 5.0286 18.2437
2.3143 5.0286 16.8309
2.5714 5.0286 15.5960
2.8286 5.0286 14.7318
3.0857 5.0286 14.9332
3.3429 5.0286 19.5087
3.6000 5.0286 40.0000
3.8571 5.0286 40.0000
4.1143 5.0286 40.0000
4.3714 5.0286 40.0000
4.6286 5.0286 15.7513
4.8857 5.0286 8.0193
5.1429 5.0286 5.5358
5.4000 5.0286 4.2757
5.6571 5.0286 3.4259
5.9143 5.0286 2.7662
6.1714 5.0286 2.2235
6.4286 5.0286 1.7698
6.6857 5.0286 1.3932
6.9429 5.0286 1.0878
7.2000 5.0286 0.8490
7.4571 5.0286 0.6763
7.7143 5.0286 0.5698
7.9714 5.0286 0.5294
8.2286 5.0286 0.5551
8.4857 5.0286 0.6469
8.7429 5.0286 0.8049
9.0000 5.0286 1.0290

0.0000 5.2571 32.7902
0.2571 5.2571 30.7661
0.5143 5.2571 28.8082
0.7714 5.2571 26.9163
1.0286 5.2571 25.0906
1.2857 5.2571 23.3310
1.5429 5.2571 21.6399
1.8000 5.2571 20.0217
2.0571 5.2571 18.4830
2.3143 5.2571 17.0366
2.5714 5.2571 15.7094
2.8286 5.2571 14.5600
3.0857 5.2571 13.7150
3.3429 5.2571 13.4194
3.6000 5.2571 13.9349
3.8571 5.2571 14.7191
4.1143 5.2571 13.8244
4.3714 5.2571 11.0641
4.6286 5.2571 8.4059
4.8857 5.2571 6.5635
5.1429 5.2571 5.3049
5.4000 5.2571 4.3714
5.6571 5.2571 3.6254
5.9143 5.2571 3.0031
6.1714 5.2571 2.4753
6.4286 5.2571 2.0278
6.6857 5.2571 1.6539
6.9429 5.2571 1.3490
7.2000 5.2571 1.1102
7.4571 5.2571 0.9376
7.7143 5.2571 0.8310
7.9714 5.2571 0.7906
8.2286 5.2571 0.8163
8.4857 5.2571 0.9082
8.7429 5.2571 1.0661
9.0000 5.2571 1.2902

0.0000 5.4857 33.1037
0.2571 5.4857 31.0796
0.5143 5.4857 29.1216
0.7714 5.4857 27.2298
1.0286 5.4857 25.4041
1.2857 5.4857 23.6445
1.5429 5.4857 21.9516
1.8000 5.4857 20.3291
2.0571 5.4857 18.7808
2.3143 5.4857 17.3129
2.5714 5.4857 15.9362
2.8286 5.4857 14.6684
3.0857 5.4857 13.5343
3.3429 5.4857 12.5544
3.6000 5.4857 11.7039
3.8571 5.4857 10.8560
4.1143 5.4857 9.8395
4.3714 5.4857 8.6415
4.6286 5.4857 7.4262
4.8857 5.4857 6.3319
5.1429 5.4857 5.3924
5.4000 5.4857 4.5896
5.6571 5.4857 3.8981
5.9143 5.4857 3.2993
6.1714 5.4857 2.7819
6.4286 5.4857 2.3392
6.6857 5.4857 1.9673
6.9429 5.4857 1.6624
7.2000 5.4857 1.4237
7.4571 5.4857 1.2510
7.7143 5.4857 1.1445
7.9714 5.4857 1.1041
8.2286 5.4857 1.1298
8.4857 5.4857 1.2216
8.7429 5.4857 1.3796
9.0000 5.4857 1.6037

0.0000 5.7143 33.4694
0.2571 5.7143 31.4453
0.5143 5.7143 29.4873
0.7714 5.7143 27.5955
1.0286 5.7143 25.7698
1.2857 5.7143 24.0102
1.5429 5.7143 22.3167
1.8000 5.7143 20.6911
2.0571 5.7143 19.1364
2.3143 5.7143 17.6556
2.5714 5.7143 16.2528
2.8286 5.7143 14.9333
3.0857 5.7143 13.7016
3.3429 5.7143 12.5563
3.6000 5.7143 11.4817
3.8571 5.7143 10.4457
4.1143 5.7143 9.4171
4.3714 5.7143 8.3939
4.6286 5.7143 7.4053
4.8857 5.7143 6.4845
5.1429 5.7143 5.6492
5.4000 5.7143 4.9019
5.6571 5.7143 4.2386
5.9143 5.7143 3.6539
6.1714 5.7143 3.1434
6.4286 5.7143 2.7041
6.6857 5.7143 2.3331
6.9429 5.7143 2.0282
7.2000 5.7143 1.7894
7.4571 5.7143 1.6167
