t a1 a2 a3 a4 a5 a6 b1 b2 b3 b4 b5 b6 disa disb bnda bndb
5.10000 7.09492 7.05503 7.00034 6.96003 6.94497 6.94471 7.00124 7.00068 7.00032 6.99967 6.99932 6.99876 0.14043 0.00205 2.52425 0.02333
5.15000 7.09296 7.05429 7.00104 6.96127 6.94571 6.94474 7.00117 7.00064 7.00031 6.99969 6.99936 6.99883 0.13818 0.00193 2.49065 0.02198
5.20000 7.09106 7.05357 7.00169 6.96245 6.94643 6.94480 7.00110 7.00061 7.00029 6.99971 6.99939 6.99890 0.13598 0.00182 2.45751 0.02072
5.25000 7.08921 7.05285 7.00230 6.96359 6.94715 6.94490 7.00104 7.00057 7.00027 6.99973 6.99943 6.99896 0.13384 0.00172 2.42480 0.01952
5.30000 7.08742 7.05215 7.00288 6.96468 6.94785 6.94503 7.00098 7.00054 7.00026 6.99974 6.99946 6.99902 0.13175 0.00162 2.39253 0.01840
5.35000 7.08568 7.05145 7.00341 6.96573 6.94855 6.94518 7.00092 7.00051 7.00024 6.99976 6.99949 6.99908 0.12972 0.00153 2.36069 0.01734
5.40000 7.08400 7.05077 7.00391 6.96673 6.94923 6.94536 7.00087 7.00048 7.00023 6.99977 6.99952 6.99913 0.12774 0.00144 2.32928 0.01634
5.45000 7.08236 7.05009 7.00438 6.96769 6.94991 6.94557 7.00082 7.00045 7.00021 6.99979 6.99955 6.99918 0.12580 0.00136 2.29828 0.01540
5.50000 7.08077 7.04942 7.00482 6.96862 6.95058 6.94580 7.00077 7.00042 7.00020 6.99980 6.99957 6.99923 0.12391 0.00128 2.26769 0.01451
5.55000 7.07922 7.04876 7.00522 6.96951 6.95124 6.94604 7.00073 7.00040 7.00019 6.99981 6.99960 6.99927 0.12207 0.00120 2.23751 0.01368
5.60000 7.07772 7.04811 7.00560 6.97037 6.95189 6.94631 7.00068 7.00038 7.00018 6.99982 6.99962 6.99932 0.12026 0.00113 2.20774 0.01289
5.65000 7.07626 7.04747 7.00595 6.97119 6.95253 6.94660 7.00065 7.00036 7.00017 6.99983 6.99964 6.99936 0.11849 0.00107 2.17836 0.01215
5.70000 7.07484 7.04684 7.00628 6.97198 6.95316 6.94691 7.00061 7.00034 7.00016 6.99984 6.99966 6.99939 0.11676 0.00101 2.14937 0.01145
5.75000 7.07346 7.04622 7.00658 6.97274 6.95378 6.94723 7.00057 7.00032 7.00015 6.99985 6.99968 6.99943 0.11507 0.00095 2.12076 0.01079
5.80000 7.07212 7.04560 7.00686 6.97347 6.95440 6.94756 7.00054 7.00030 7.00014 6.99986 6.99970 6.99946 0.11341 0.00089 2.09254 0.01017
5.85000 7.07081 7.04499 7.00711 6.97417 6.95501 6.94791 7.00051 7.00028 7.00013 6.99987 6.99972 6.99949 0.11178 0.00084 2.06469 0.00958
5.90000 7.06954 7.04439 7.00735 6.97484 6.95561 6.94827 7.00048 7.00026 7.00013 6.99987 6.99974 6.99952 0.11018 0.00079 2.03721 0.00903
5.95000 7.06830 7.04380 7.00757 6.97549 6.95620 6.94864 7.00045 7.00025 7.00012 6.99988 6.99975 6.99955 0.10861 0.00075 2.01010 0.00851
6.00000 7.06709 7.04322 7.00777 6.97612 6.95678 6.94903 7.00043 7.00023 7.00011 6.99989 6.99977 6.99957 0.10708 0.00071 1.98335 0.00802
6.05000 7.06591 7.04264 7.00795 6.97673 6.95736 6.94942 7.00040 7.00022 7.00011 6.99989 6.99978 6.99960 0.10557 0.00067 1.95696 0.00756
6.10000 7.06476 7.04208 7.00811 6.97731 6.95792 6.94982 7.00038 7.00021 7.00010 6.99990 6.99979 6.99962 0.10408 0.00063 1.93091 0.00712
6.15000 7.06364 7.04152 7.00826 6.97787 6.95848 6.95023 7.00036 7.00020 7.00009 6.99991 6.99980 6.99964 0.10263 0.00059 1.90522 0.00671
6.20000 7.06255 7.04096 7.00840 6.97841 6.95904 6.95064 7.00034 7.00019 7.00009 6.99991 6.99981 6.99966 0.10120 0.00056 1.87986 0.00633
6.25000 7.06148 7.04042 7.00852 6.97893 6.95958 6.95107 7.00032 7.00017 7.00008 6.99992 6.99983 6.99968 0.09979 0.00052 1.85485 0.00596
6.30000 7.06044 7.03988 7.00863 6.97943 6.96012 6.95150 7.00030 7.00016 7.00008 6.99992 6.99984 6.99970 0.09841 0.00049 1.83016 0.00562
6.35000 7.05942 7.03935 7.00873 6.97992 6.96065 6.95193 7.00028 7.00016 7.00007 6.99993 6.99984 6.99972 0.09705 0.00047 1.80580 0.00529
6.40000 7.05843 7.03883 7.00881 6.98039 6.96117 6.95237 7.00027 7.00015 7.00007 6.99993 6.99985 6.99974 0.09571 0.00044 1.78177 0.00499
6.45000 7.05746 7.03831 7.00889 6.98084 6.96169 6.95281 7.00025 7.00014 7.00007 6.99993 6.99986 6.99975 0.09439 0.00041 1.75806 0.00470
6.50000 7.05652 7.03780 7.00895 6.98128 6.96220 6.95326 7.00024 7.00013 7.00006 6.99994 6.99987 6.99976 0.09310 0.00039 1.73466 0.00443
6.55000 7.05559 7.03730 7.00900 6.98170 6.96270 6.95370 7.00022 7.00012 7.00006 6.99994 6.99988 6.99978 0.09182 0.00037 1.71158 0.00418
6.60000 7.05469 7.03680 7.00905 6.98211 6.96320 6.95416 7.00021 7.00012 7.00005 6.99995 6.99988 6.99979 0.09057 0.00035 1.68880 0.00394
6.65000 7.05380 7.03631 7.00909 6.98250 6.96369 6.95461 7.00020 7.00011 7.00005 6.99995 6.99989 6.99980 0.08933 0.00033 1.66633 0.00371
6.70000 7.05294 7.03583 7.00911 6.98289 6.96417 6.95506 7.00019 7.00010 7.00005 6.99995 6.99990 6.99981 0.08812 0.00031 1.64415 0.00350
6.75000 7.05209 7.03535 7.00913 6.98326 6.96465 6.95552 7.00017 7.00010 7.00005 6.99995 6.99990 6.99983 0.08692 0.00029 1.62227 0.00329
6.80000 7.05126 7.03488 7.00915 6.98361 6.96512 6.95598 7.00016 7.00009 7.00004 6.99996 6.99991 6.99984 0.08574 0.00027 1.60068 0.00310
6.85000 7.05045 7.03441 7.00915 6.98396 6.96559 6.95643 7.00016 7.00009 7.00004 6.99996 6.99991 6.99984 0.08458 0.00026 1.57938 0.00293
6.90000 7.04966 7.03396 7.00915 6.98430 6.96604 6.95689 7.00015 7.00008 7.00004 6.99996 6.99992 6.99985 0.08343 0.00024 1.55836 0.00276
6.95000 7.04888 7.03350 7.00915 6.98462 6.96650 6.95735 7.00014 7.00008 7.00004 6.99996 6.99992 6.99986 0.08230 0.00023 1.53762 0.00260
7.00000 7.04812 7.03306 7.00914 6.98494 6.96694 6.95781 7.00013 7.00007 7.00003 6.99997 6.99993 6.99987 0.08119 0.00022 1.51716 0.00245
7.05000 7.04738 7.03262 7.00912 6.98524 6.96738 6.95826 7.00012 7.00007 7.00003 6.99997 6.99993 6.99988 0.08010 0.00020 1.49697 0.00231
7.10000 7.04665 7.03218 7.00910 6.98554 6.96782 6.95872 7.00012 7.00006 7.00003 6.99997 6.99994 6.99988 0.07902 0.00019 1.47705 0.00217
7.15000 7.04593 7.03176 7.00907 6.98583 6.96824 6.95917 7.00011 7.00006 7.00003 6.99997 6.99994 6.99989 0.07795 0.00018 1.45739 0.00205
7.20000 7.04523 7.03133 7.00904 6.98610 6.96867 6.95962 7.00010 7.00006 7.00003 6.99997 6.99994 6.99990 0.07690 0.00017 1.43799 0.00193
7.25000 7.04454 7.03092 7.00901 6.98638 6.96908 6.96008 7.00010 7.00005 7.00003 6.99997 6.99995 6.99990 0.07587 0.00016 1.41886 0.00182
7.30000 7.04387 7.03051 7.00897 6.98664 6.96949 6.96053 7.00009 7.00005 7.00002 6.99998 6.99995 6.99991 0.07485 0.00015 1.39998 0.00172
