t tx ty tvx tvy zx zy ex ey evx evy fdvx fdvy sx sy errz errkf
7.5000 12.0657 16.7806 1.9268 2.8103 9.7658 17.3181 11.8582 17.1464 1.2784 3.2989 -1.7047 0.6844 0.3934 0.2300 2.3618 0.4206
7.6000 12.2550 17.0528 1.9505 2.7151 12.7838 16.7971 12.1095 17.3326 1.3821 3.1283 30.1798 -5.2098 0.3934 0.2300 0.5874 0.3153
7.7000 12.4476 17.3283 1.8911 2.7563 13.6484 16.1175 12.4646 17.3220 1.5643 2.7446 8.6457 -6.7967 0.3934 0.2300 1.7053 0.0181
7.8000 12.6282 17.5995 1.6985 2.7997 12.2922 18.4996 12.5701 17.7876 1.5215 2.9714 -13.5616 23.8210 0.3934 0.2300 0.9607 0.1969
7.9000 12.7925 17.8734 1.6083 2.7631 12.2784 17.9509 12.6535 18.0564 1.4638 2.9378 -0.1385 -5.4868 0.3934 0.2300 0.5199 0.2298
8.0000 12.9631 18.1359 1.6896 2.5153 13.4265 18.1040 12.8969 18.2981 1.5453 2.8760 11.4815 1.5311 0.3934 0.2300 0.4646 0.1752
8.1000 13.1336 18.3740 1.6729 2.3707 13.5109 18.6123 13.1226 18.5913 1.6050 2.8827 0.8438 5.0831 0.3934 0.2300 0.4463 0.2175
8.2000 13.3137 18.6131 1.8129 2.3000 13.3064 18.8269 13.2867 18.8684 1.6081 2.8694 -2.0450 2.1458 0.3934 0.2300 0.2139 0.2567
8.3000 13.5090 18.8370 2.0035 2.1486 13.6990 17.9198 13.4864 18.8938 1.6408 2.5591 3.9260 -9.0704 0.3934 0.2300 0.9367 0.0611
8.4000 13.6994 19.0473 1.8984 2.0311 12.0743 19.1034 13.4065 19.1399 1.4358 2.5475 -16.2473 11.8356 0.3934 0.2300 1.6261 0.3072
8.5000 13.8867 19.2429 1.9133 1.8790 12.6901 19.8234 13.4170 19.4854 1.3240 2.6552 6.1578 7.1998 0.3934 0.2300 1.3300 0.5287
8.6000 14.0726 19.4315 1.7567 1.9224 14.0932 18.6456 13.6336 19.5170 1.3947 2.3776 14.0312 -11.7782 0.3934 0.2300 0.7862 0.4473
8.7000 14.2498 19.6124 1.6938 1.7919 14.3168 19.4089 13.8572 19.6815 1.4654 2.2907 2.2360 7.6333 0.3934 0.2300 0.2143 0.3986
8.8000 14.4157 19.7915 1.7489 1.8093 14.7122 20.0535 14.1134 19.9408 1.5575 2.3266 3.9542 6.4464 0.3934 0.2300 0.3957 0.3372
8.9000 14.5900 19.9850 1.6782 2.0728 15.1606 19.8232 14.4072 20.0994 1.6734 2.2386 4.4842 -2.3029 0.3934 0.2300 0.5931 0.2156
9.0000 14.7552 20.1931 1.7541 2.1865 15.6601 20.4305 14.7426 20.3459 1.8146 2.2656 4.9951 6.0721 0.3934 0.2300 0.9356 0.1534
9.1000 14.9385 20.4067 1.8014 2.0574 16.3858 20.5946 15.1503 20.5772 2.0046 2.2711 7.2566 1.6410 0.3934 0.2300 1.4595 0.2719
9.2000 15.1171 20.6115 1.8127 2.0833 15.0628 20.5527 15.3062 20.7510 1.9672 2.2080 -13.2297 -0.4181 0.3934 0.2300 0.0800 0.2350
9.3000 15.2980 20.8239 1.8067 2.0740 16.4244 20.3078 15.6456 20.8313 2.0870 2.0412 13.6158 -2.4498 0.3934 0.2300 1.2390 0.3476
9.4000 15.4815 21.0297 1.8008 1.9819 13.9312 22.1256 15.5566 21.2662 1.8370 2.3150 -24.9323 18.1783 0.3934 0.2300 1.8986 0.2480
9.5000 15.6646 21.2383 1.8203 2.2113 15.1464 20.5361 15.6483 21.2941 1.7598 2.0735 12.1525 -15.8949 0.3934 0.2300 0.8727 0.0581
9.6000 15.8371 21.4527 1.7777 2.0526 15.6564 21.4478 15.7983 21.4901 1.7379 2.0600 5.0998 9.1169 0.3934 0.2300 0.1808 0.0539
9.7000 16.0183 21.6587 1.8172 1.9581 16.2493 22.5125 16.0150 21.8689 1.7740 2.2650 5.9292 10.6472 0.3934 0.2300 0.8845 0.2102
9.8000 16.2170 21.8643 2.1379 2.1174 17.0513 22.3037 16.3254 22.1395 1.8857 2.3173 8.0196 -2.0886 0.3934 0.2300 0.9429 0.2958
9.9000 16.4302 22.0755 2.1929 2.0920 15.6825 21.5786 16.3852 22.2035 1.7775 2.1183 -13.6881 -7.2503 0.3934 0.2300 0.8978 0.1356
10.0000 16.6395 22.2875 2.0299 2.0555 16.8674 22.1871 16.6101 22.3670 1.8171 2.0610 11.8489 6.0844 0.3934 0.2300 0.2491 0.0847
