x y
1.5000 -2.5981
1.4000 -2.4249
1.3000 -2.2517
1.2000 -2.0785
1.1000 -1.9053
1.0000 -1.7321
0.9000 -1.5588
0.8000 -1.3856
0.7000 -1.2124
0.6000 -1.0392
0.5231 -0.9060
0.5222 -0.9046
0.5222 -0.9046
0.5222 -0.9046
0.5222 -0.9046
0.5222 -0.9046
0.5222 -0.9046
0.5222 -0.9046
0.5222 -0.9046
0.5222 -0.9046
0.5222 -0.9046
0.5222 -0.9046
0.5222 -0.9046
0.5222 -0.9046
0.5222 -0.9045
0.5222 -0.9045
0.5222 -0.9045
0.5220 -0.9041
0.5208 -0.9021
0.5148 -0.8916
0.4817 -0.8344
0.3855 -0.6678
0.3322 -0.5753
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3320 -0.5751
0.3319 -0.5752
0.3319 -0.5752
0.3317 -0.5753
0.3315 -0.5754
0.3311 -0.5756
0.3304 -0.5760
0.3293 -0.5767
0.3273 -0.5778
0.3238 -0.5798
0.3178 -0.5831
0.3074 -0.5887
0.2892 -0.5980
0.2572 -0.6128
0.2008 -0.6347
0.1026 -0.6609
-0.0178 -0.6742
-0.1394 -0.6677
-0.2593 -0.6419
-0.3747 -0.5976
-0.4833 -0.5363
-0.5833 -0.4600
-0.6741 -0.3715
-0.7568 -0.2736
-0.8346 -0.1692
-0.9140 -0.0593
-1.0038 0.0585
-1.1123 0.1921
-1.2355 0.3472
-1.3414 0.5166
-1.4213 0.6998
-1.4769 0.8918
-1.5119 1.0886
-1.5308 1.2877
-1.5374 1.4876
-1.5349 1.6842
-1.5286 1.8514
-1.5234 1.9880
-1.5191 2.0996
-1.5156 2.1908
-1.5128 2.2653
-1.5104 2.3261
-1.5085 2.3759
-1.5070 2.4165
-1.5057 2.4497
-1.5046 2.4769
-1.5038 2.4990
-1.5031 2.5172
-1.5025 2.5320
-1.5021 2.5441
-1.5017 2.5539
-1.5014 2.5620
-1.5011 2.5686
-1.5009 2.5740
-1.5008 2.5784
-1.5006 2.5820
-1.5005 2.5849
-1.5004 2.5873
-1.5003 2.5893
-1.5003 2.5909
-1.5002 2.5922
-1.5002 2.5933
-1.5001 2.5942
-1.5001 2.5949
-1.5001 2.5955
-1.5001 2.5959
-1.5001 2.5963
-1.5001 2.5967
-1.5000 2.5969
-1.5000 2.5971
-1.5000 2.5973
-1.5000 2.5974
-1.5000 2.5976
-1.5000 2.5977
-1.5000 2.5977
-1.5000 2.5978
-1.5000 2.5978
-1.5000 2.5979
-1.5000 2.5979
-1.5000 2.5980
-1.5000 2.5980
-1.5000 2.5980
-1.5000 2.5980
-1.5000 2.5980
-1.5000 2.5980
-1.5000 2.5980
-1.5000 2.5980
-1.5000 2.5981
-1.5000 2.5981
-1.5000 2.5981
-1.5000 2.5981
