# raw rows of the Chapter 25 mini-study; generated by code/figures/gen_ch25_study.py from code/ch25_evaluation.py; cells (2,0) (2,1) (4,0) (4,1), seeds 0-19, strategies none/local/replan/hybrid, prediction=noisy; add the git commit of the code to this line when you publish a study
k m seed strategy family collision n_collisions near_miss dmin_dd dmin_di path_total path_ratio travel_mean makespan soc success replans avoid_steps comp_mean_ms comp_p99_ms comp_max_ms comp_total_s deadline_misses ef_mean ef_max comm_viol steps
2 0 19 none - 0 0 0 2.0505 nan 35.7644 0.9989 12.6500 13.4000 25.3000 1 0 0 0.0535 0.0896 0.1834 0.0154 0 0.0294 0.2458 0 144
2 0 19 local - 0 0 0 2.0505 nan 35.7644 0.9989 12.6500 13.4000 25.3000 1 0 0 0.0534 0.1014 0.1203 0.0154 0 0.0294 0.2458 0 144
2 0 19 replan - 0 0 0 2.0505 nan 35.7644 0.9989 12.6500 13.4000 25.3000 1 0 0 0.0536 0.0968 0.1004 0.0154 0 0.0294 0.2458 0 144
2 0 19 hybrid - 0 0 0 2.0505 nan 35.7644 0.9989 12.6500 13.4000 25.3000 1 0 0 0.0532 0.1004 0.1432 0.0153 0 0.0294 0.2458 0 144
2 1 0 none straight 1 1 1 2.0390 0.0000 35.4336 0.9990 12.5500 13.3000 25.1000 0 0 0 0.0569 0.0932 0.1136 0.0163 0 0.0296 0.2458 0 143
2 1 0 local straight 0 0 0 1.5740 1.1034 38.8694 1.0959 12.7500 13.3000 25.5000 1 0 63 0.1130 0.3638 0.5597 0.0323 0 0.6983 3.1356 0 143
2 1 0 replan straight 0 0 0 2.3977 1.9779 38.1507 1.0756 13.5500 13.7000 27.1000 1 3 0 0.0679 0.1689 0.8353 0.0200 0 0.7887 2.0913 0 147
2 1 0 hybrid straight 0 0 0 1.5740 1.2449 41.6863 1.1753 14.4500 15.6000 28.9000 1 1 56 0.1042 0.3775 0.8167 0.0346 0 1.9590 6.1365 0 166
2 1 1 none turning 1 2 1 2.0207 0.0000 36.0328 0.9990 12.7500 13.5000 25.5000 0 0 0 0.0578 0.1010 0.1381 0.0168 0 0.0292 0.2458 0 145
2 1 1 local turning 0 0 0 1.7332 1.0042 37.8970 1.0506 12.8000 13.6000 25.6000 1 0 83 0.1263 0.3459 0.3903 0.0369 0 0.4283 1.8928 0 146
2 1 1 replan turning 0 0 0 3.2023 1.8424 46.4809 1.2883 16.4500 19.5000 32.9000 1 6 0 0.0690 0.7410 0.8935 0.0283 0 2.6629 7.7503 69 205
2 1 1 hybrid turning 0 0 0 1.7332 1.0042 39.3317 1.0904 13.7500 15.5000 27.5000 1 1 80 0.1290 0.4388 0.8756 0.0426 0 1.1020 3.2590 0 165
2 1 2 none evasive 1 1 1 2.0036 0.0271 35.6112 0.9989 12.6000 13.3000 25.2000 0 0 0 0.0595 0.1144 0.1263 0.0170 0 0.0294 0.2458 0 143
2 1 2 local evasive 0 0 0 1.8171 1.1127 37.5023 1.0519 12.6000 13.3000 25.2000 1 0 76 0.1307 0.3858 0.4355 0.0374 0 0.4249 1.8132 0 143
2 1 2 replan evasive 0 0 0 1.5989 1.4960 38.5754 1.0820 13.7000 13.9000 27.4000 1 5 0 0.0727 0.8711 0.9599 0.0217 0 1.5901 4.1964 0 149
2 1 2 hybrid evasive 0 0 0 1.8171 1.1127 37.5023 1.0519 12.6000 13.3000 25.2000 1 0 76 0.1373 0.4922 0.5797 0.0393 0 0.4249 1.8132 0 143
2 1 3 none straight 1 1 1 1.9603 0.0000 35.9120 0.9989 12.7000 13.4000 25.4000 0 0 0 0.0578 0.1071 0.1153 0.0167 0 0.0292 0.2458 0 144
2 1 3 local straight 0 0 0 1.0033 1.3689 36.6690 1.0199 12.8000 13.4000 25.6000 1 0 72 0.1259 0.3935 0.5050 0.0363 0 0.8198 2.4393 0 144
2 1 3 replan straight 0 0 0 1.0219 1.5897 38.4636 1.0698 13.6500 13.8000 27.3000 1 3 0 0.0669 0.2025 0.8693 0.0198 0 1.6404 3.1086 0 148
